日期,指數,量,5ma趨勢,20ma趨勢,均差,上市多頭家數,上市空頭家數,上櫃多頭家數,上櫃空頭家數,外資買超,op OI,匯率,特殊信號,上市強勢主流,上櫃強勢主流,上市弱勢主流,上櫃弱勢主流,買權留倉最大量,買權留倉次量,賣權留倉最大量,賣權留倉次量,買權留倉增加最多,賣權留倉增加最多,多頭家數,空頭家數,tse_buy,tse_sell,otc_buy,otc_sell,八大行庫,台指期
2020-04-17,10597.04,2332,多 :0.85,多 :0.71,557,647.5,7.5,498.0,24.5,203,180.06,30.101999999999997,起漲日,"['半導體業(5.6)', '其他電子業(1.75)', '光電業(1.55)', '電機機械(1.32)']",['觀光事業(1.21)'],[],"['線上遊戲業(-4.14)', '文化創意業(-2.87)', '化學工業(-1.11)']",11000.0, 11100   7439(  2178),10000.0,  9000   5294(   278),10800.0,10000.0,500,13,1073.6481254546134,1112.6252145953868,190.6093003602916,336.5219891097084,4.7,10561
2020-04-16,10375.48,1576,多 :0.50,多 :0.48,538,723.5,6.0,541.5,26.5,-124,182.64,30.12,,[],"['資訊服務類(1.75)', '電子零組件類(1.63)', '生技醫療類(1.61)', '電子通路類(1.47)', '光電業類(1.35)']","['玻璃陶瓷(-2.24)', '汽車工業(-1.82)', '紡織纖維(-1.71)', '觀光事業(-1.56)', '橡膠工業(-1.49)', '金融保險(-1.49)', '塑膠工業(-1.38)', '航運業(-1.23)', '其他(-1.21)', '電器電纜(-1.17)', '鋼鐵工業(-1.14)']",[],11000.0, 10600   6323(   909),10000.0,  9000   5016(  1567),10400.0,9800.0,617,12,793.4489695754486,680.7044430045514,233.31508839909927,139.15558436090072,29.9,10302
2020-04-15,10447.21,1949,多 :0.61,多 :0.38,534,790.5,9.5,573.0,29.0,-36,207.67,30.031,多頭k,"['觀光事業(4.48)', '玻璃陶瓷(3.19)', '造紙工業(2.39)', '航運業(2.27)', '汽車工業(2.16)', '電子零組件業(2.08)', '化學工業(1.93)', '金融保險(1.68)', '建材營造(1.58)', '化學生技醫療(1.44)', '資訊服務業(1.41)', '電子通路業(1.4)', '其他(1.36)', '鋼鐵工業(1.34)', '油電燃氣業(1.12)', '塑膠工業(1.01)']","['觀光事業(3.82)', '航運業(2.29)', '電子零組件類(2.26)', '電腦及週邊類(2.14)', '建材營造(1.58)', '其他電子類(1.44)', '電子工業(1.35)', '電機機械(1.25)', '化學工業(1.24)', '其他(1.23)', '光電業類(1.20)', '半導體類(1.15)']",[],[],11000.0, 10600   5414( -5769),10000.0,  9000   3449( -8073),11300.0,10600.0,989,11,1122.281153832212,713.8143084677879,224.1080199315681,189.71352812843185,5.6,10450
2020-04-14,10332.94,1580,多 :0.67,多 :0.11,508,815.5,11.0,609.5,32.0,151,191.24,30.071,起漲日,"['電子零組件業(3.9)', '光電業(3.16)', '半導體業(2.63)', '汽車工業(2.63)', '其他(2.6)', '紡織纖維(2.51)', '塑膠工業(2.49)', '電機機械(2.43)', '金融保險(2.43)', '橡膠工業(2.39)', '電腦及週邊設備業(2.22)', '水泥工業(1.93)', '其他電子業(1.83)', '生技醫療業(1.79)', '化學生技醫療(1.76)', '航運業(1.73)', '化學工業(1.72)', '觀光事業(1.65)', '玻璃陶瓷(1.62)', '建材營造(1.58)', '貿易百貨(1.51)', '電子通路業(1.44)', '造紙工業(1.28)', '通信網路業(1.14)', '油電燃氣業(1.09)', '資訊服務業(1.06)', '鋼鐵工業(1.01)']","['半導體類(2.87)', '其他電子類(2.65)', '電子工業(2.45)', '光電業類(2.23)', '通信網路業(2.13)', '電子零組件類(2.07)', '電腦及週邊類(1.56)', '生技醫療類(1.50)', '觀光事業(1.49)', '電機機械(1.48)', '電子通路類(1.44)', '化學工業(1.31)', '紡織纖維(1.23)', '其他(1.17)', '文化創意業(1.14)', '航運業(1.14)', '線上遊戲業(1.02)']",[],[],10500.0, 10400  14246(  -177),10000.0, 10150  14609( 12153),10450.0,10300.0,734,13,1115.2718788018096,320.3970451881905,237.7255658509572,96.2985414090428,-1.1,10346
2020-04-13,10099.22,1189,多 :0.56,空:-0.17,451,822.0,14.5,604.0,38.0,-75,166.97,30.12,,['電器電纜(3.58)'],"['電子通路類(2.55)', '生技醫療類(2.11)', '航運業(1.90)']","['汽車工業(-1.8)', '油電燃氣業(-1.3)', '塑膠工業(-1.12)', '造紙工業(-1.1)', '航運業(-1.09)']","['紡織纖維(-1.80)', '線上遊戲業(-1.61)', '文化創意業(-1.37)', '半導體類(-1.22)']",10500.0, 10400  14423(   844),10000.0,  9700  14470(  1016),10350.0,10000.0,236,19,434.126823122007,628.0646120179929,128.46997076255184,162.77151369744817,25.6,10073
2020-04-10,10157.61,1223,多 :0.99,空:-0.38,379,802.5,16.0,561.0,46.5,0,173.63,30.103,,"['金融保險(2.62)', '電機機械(2.42)', '橡膠工業(2.26)', '電器電纜(2.03)', '建材營造(1.93)', '玻璃陶瓷(1.86)', '汽車工業(1.61)', '化學工業(1.48)', '其他(1.31)', '紡織纖維(1.14)', '鋼鐵工業(1.08)', '電子通路業(1.03)', '塑膠工業(1.02)']","['線上遊戲業(2.51)', '化學工業(2.19)', '文化創意業(2.18)', '電子通路類(2.10)', '通信網路業(1.96)', '其他電子類(1.43)', '紡織纖維(1.11)']","['光電業(-1.14)', '半導體業(-1.07)']",[],10500.0, 10400  13579(  2432),10000.0,  9700  13454(  1993),10500.0,9600.0,128,21,632.4068059907603,491.53170078923966,161.83217011473118,123.02904904526878,0.7,10133
2020-04-09,10119.43,1653,多 :0.83,空:-0.45,243,662.5,34.0,460.5,62.5,-74,177.12,30.151999999999997,,"['航運業(3.66)', '生技醫療業(1.85)']","['光電業類(1.58)', '線上遊戲業(1.09)', '觀光事業(1.00)']",['光電業(-2.3)'],"['通信網路業(-1.64)', '半導體類(-1.45)']",10500.0, 10400  11147(  2750),10000.0,  9000  11998(    75),10500.0,9900.0,81,24,588.6333941046796,949.5446847453204,128.11466088130544,269.2143382986946,33.4,10101
2020-04-08,10137.47,1706,多 :1.04,空:-0.43,117,466.5,44.0,323.5,79.5,3,184.91,30.16,多頭k,"['玻璃陶瓷(7.48)', '其他電子業(4.03)', '電子零組件業(3.71)', '航運業(3.55)', '水泥工業(3.51)', '橡膠工業(2.98)', '電器電纜(2.83)', '觀光事業(2.45)', '紡織纖維(2.05)', '其他(2.05)', '光電業(2.0)', '塑膠工業(1.75)', '化學工業(1.73)', '鋼鐵工業(1.63)', '建材營造(1.6)', '造紙工業(1.58)', '汽車工業(1.45)', '食品工業(1.18)', '化學生技醫療(1.16)', '電機機械(1.12)', '電子通路業(1.04)', '油電燃氣業(1.03)']","['電子零組件類(4.43)', '光電業類(3.26)', '紡織纖維(2.88)', '電子通路類(2.76)', '電子工業(2.43)', '電腦及週邊類(2.24)', '半導體類(2.11)', '電機機械(2.05)', '其他電子類(1.91)', '化學工業(1.88)', '生技醫療類(1.82)', '資訊服務類(1.80)', '其他(1.61)', '建材營造(1.40)']",[],[],10500.0, 10000  10192(   -48),9000.0,  8400  11661(  2052),10500.0,10000.0,82,27,1112.753502538385,458.127271661615,273.36184247209314,122.17409270790688,11.5,10127
2020-04-07,9996.39,1741,多 :0.61,空:-0.67,-26,267.0,49.5,185.5,84.5,34,173.2,30.151999999999997,多頭k,"['玻璃陶瓷(3.14)', '半導體業(2.86)', '電子零組件業(2.71)', '紡織纖維(2.57)', '橡膠工業(2.48)', '塑膠工業(2.47)', '其他(2.21)', '水泥工業(2.12)', '光電業(1.92)', '觀光事業(1.72)', '資訊服務業(1.7)', '化學工業(1.58)', '電器電纜(1.57)', '其他電子業(1.57)', '航運業(1.39)', '油電燃氣業(1.31)', '電機機械(1.3)', '貿易百貨(1.17)', '建材營造(1.0)']","['電子通路類(3.21)', '其他電子類(2.67)', '光電業類(2.63)', '電子零組件類(2.62)', '半導體類(2.58)', '航運業(2.57)', '電子工業(2.50)', '資訊服務類(2.31)', '電腦及週邊類(2.20)', '通信網路業(1.86)', '電機機械(1.76)', '觀光事業(1.36)', '紡織纖維(1.32)', '文化創意業(1.32)', '生技醫療類(1.21)', '化學工業(1.21)', '其他(1.14)']",[],[],10000.0, 10500   8015(   145),9000.0,  7300  11093(   379),10100.0,9800.0,48,43,1026.6245966471242,578.9805054128756,240.9054486138289,158.15570190617106,8.7,9997
2020-04-06,9818.74,1531,多 :0.17,空:-0.85,-151,159.5,51.5,103.5,86.5,21,171.57,30.231,,"['食品工業(3.85)', '電機機械(3.5)', '塑膠工業(3.2)', '汽車工業(3.01)', '油電燃氣業(2.84)', '電腦及週邊設備業(2.83)', '光電業(2.55)', '生技醫療業(2.27)', '半導體業(1.78)', '通信網路業(1.77)', '資訊服務業(1.74)', '化學生技醫療(1.71)', '電子零組件業(1.69)', '鋼鐵工業(1.28)', '電子通路業(1.2)', '化學工業(1.16)', '紡織纖維(1.11)']","['線上遊戲業(6.26)', '文化創意業(4.53)', '電腦及週邊類(3.14)', '半導體類(3.05)', '生技醫療類(2.42)', '電子工業(2.24)', '其他電子類(1.95)', '電子通路類(1.34)', '資訊服務類(1.17)']",[],['觀光事業(-1.16)'],10000.0, 10500   7870(  1185),9000.0,  7300  10714(   674),10500.0,8900.0,27,59,902.5509359612782,484.07741348872185,223.42233767737147,88.58787996262853,-16.9,9826
